rank,grade,domain,unit,concept_id,label_ko,concept_type,confidence,evidence_depth,needs_textbook_evidence,source_ref_count,parent_ids,prerequisite_ids,related_ids,short_definition,notes
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot_interval_data_ratio,상자그림 구간별 자료 비율,property,low,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_quartile; m1_data_box_plot_quartile_intervals,m1_data_box_plot_center_spread_reading; m1_mis_box_plot_length_frequency,사분위수로 나뉜 상자그림의 네 구간이 대체로 자료의 25%씩을 나타낸다는 해석.,상자그림 구간을 자료 수가 아니라 위치 비율로 읽는 해석이다. 동점과 교과서별 사분위수 계산 방식 확인 전까지 low로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_interquartile_range,사분위범위,term,low,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_first_quartile; m1_data_third_quartile; m1_num_subtraction,m1_data_box_plot_box; m1_data_box_plot_compare,"제3사분위수에서 제1사분위수를 뺀 값으로, 가운데 50% 자료의 퍼진 정도를 나타내는 값.",상자그림으로 분포를 비교할 때 사용하는 세부 해석 값으로 추론했다. 공식 용어 목록에는 없으므로 교과서 근거 확인 전까지 낮은 신뢰도로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_maximum_value,최댓값,term,low,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_dataset; m1_num_order_relation,m1_data_minimum_value; m1_data_box_plot_five_value_summary,자료값 중 가장 큰 값.,상자그림의 끝값으로 필요한 개념이지만 공식 용어 목록에는 별도 열거되지 않았다. 교과서 본문 근거로 보강한다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_minimum_value,최솟값,term,low,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_dataset; m1_num_order_relation,m1_data_maximum_value; m1_data_box_plot_five_value_summary,자료값 중 가장 작은 값.,상자그림의 끝값으로 필요한 개념이지만 공식 용어 목록에는 별도 열거되지 않았다. 교과서 본문 근거로 보강한다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_mis_box_plot_length_frequency,상자그림 구간의 길이를 자료 수로 해석하는 오류,misconception_risk,low,official_dual_source,yes,3,m1_data_box_scatter_unit,,m1_data_box_plot_box; m1_data_box_plot_whisker; m1_data_box_plot_center_spread_reading,상자그림에서 구간의 가로 길이가 자료값의 퍼짐을 나타내는데도 그 구간에 더 많은 자료가 들어 있다고 해석하는 위험.,상자그림 분포 비교 맥락에서 추론한 오개념 위험이다. 교과서 문항 근거 확인 전까지 낮은 신뢰도로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_mis_box_plot_median_line_always_center,상자그림의 중앙값 선이 항상 상자의 가운데에 있다고 보는 오류,misconception_risk,low,official_dual_source,yes,3,m1_data_box_scatter_unit,,m1_data_box_plot_median_line; m1_data_box_plot_center_spread_reading,상자 안의 중앙값 선이 실제 자료의 중앙 위치를 나타내는데도 상자의 기하학적 가운데에 항상 있어야 한다고 보는 위험.,상자그림 해석 맥락에서 추론한 오개념 위험이다. 교과서 문항 근거 확인 전까지 low로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_mis_correlation_causation,상관관계를 원인과 결과로 단정하는 오류,misconception_risk,low,official_dual_source,yes,3,m1_data_box_scatter_unit,,m1_data_scatter_plot_interpretation,산점도에서 두 변량 사이의 관련 경향이 보인다는 사실만으로 한 변량이 다른 변량의 원인이라고 단정하는 위험.,공식 문서는 상관관계를 말하는 수준을 다룬다. 인과 판단 오류는 교과서 본문이나 문항 근거 보강 전까지 잠정 노드로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_mis_quartile_without_ordering,자료를 정렬하지 않고 사분위수를 구하는 오류,misconception_risk,low,official_dual_source,yes,2,m1_data_box_scatter_unit,,m1_data_ordered_data_for_quartiles; m1_data_quartile,자료값을 크기순으로 정리하지 않은 채 위치만 세어 사분위수를 잘못 구하는 위험.,사분위수 계산 절차에서 추론한 오개념 위험이다. 교과서 예제·오답 근거로 보강한다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_mis_scatter_axis_swap,산점도의 두 변량을 축에 바꾸어 나타내는 오류,misconception_risk,low,official_dual_source,yes,2,m1_data_box_scatter_unit,,m1_data_scatter_plot_axes_variables; m1_data_bivariate_pair; m1_coord_ordered_pair,산점도에서 가로축과 세로축에 놓은 변량을 바꾸거나 축 의미를 확인하지 않아 점의 의미를 잘못 해석하는 위험.,산점도 표현 절차에서 추론한 오개념 위험이다. 교과서 예제와 오답 근거로 보강한다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_mis_scatter_single_point_correlation,한 점만 보고 상관관계를 판단하는 오류,misconception_risk,low,official_dual_source,yes,2,m1_data_box_scatter_unit,,m1_data_scatter_plot_trend; m1_data_scatter_plot_interpretation,산점도의 전체적인 점들의 경향을 보지 않고 한두 점만으로 상관관계를 단정하는 위험.,상관관계 판단 절차에서 추론한 오개념 위험이다. 교과서 예제·문항 근거 확인 전까지 low로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_scatter_unit,상자그림과 산점도,core_concept,high,official_dual_source,yes,4,m1_data_domain,,m1_data_variability_unit; m1_data_technology_tool_stats,상자그림으로 두 집단의 분포를 비교하고 산점도로 두 변량 사이의 상관관계를 해석하는 단원.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_correlation,상관관계,core_concept,high,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_scatter_plot; m1_data_scatter_plot_trend,,두 변량 사이에 함께 변하는 경향이 있는지를 나타내는 관계.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_bivariate_pair,두 변량의 대응값,sub_concept,medium,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_variable; m1_data_dataset,m1_data_scatter_plot_point,같은 대상이나 상황에서 함께 관찰한 두 변량의 한 쌍의 값.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot_five_value_summary,상자그림의 다섯 값,sub_concept,medium,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_minimum_value; m1_data_first_quartile; m1_data_second_quartile; m1_data_third_quartile; m1_data_maximum_value,m1_data_box_plot,"상자그림을 구성하는 최솟값, 제1사분위수, 중앙값, 제3사분위수, 최댓값의 묶음.",상자그림 구성 요소를 풀어 쓴 노드다. '다섯 수 요약' 용어 사용 여부는 교과서 확인 전까지 alias로 확정하지 않는다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_negative_correlation,음의 상관관계,sub_concept,high,official_dual_source,yes,2,m1_data_box_scatter_unit; m1_data_correlation,m1_data_correlation,m1_data_positive_correlation; m1_data_no_correlation,한 변량이 커질 때 다른 변량은 대체로 작아지는 관계.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_no_correlation,상관관계가 없는 경우,sub_concept,high,official_dual_source,yes,2,m1_data_box_scatter_unit; m1_data_correlation,m1_data_correlation,m1_data_positive_correlation; m1_data_negative_correlation,두 변량 사이의 뚜렷한 증가·감소 경향을 말하기 어려운 경우.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_positive_correlation,양의 상관관계,sub_concept,high,official_dual_source,yes,2,m1_data_box_scatter_unit; m1_data_correlation,m1_data_correlation,m1_data_negative_correlation; m1_data_no_correlation,한 변량이 커질 때 다른 변량도 대체로 커지는 관계.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_quartile_three_cut_points,자료를 네 부분으로 나누는 세 값,sub_concept,medium,official_dual_source,yes,3,m1_data_quartile,m1_data_ordered_data_for_quartiles; m1_data_quartile,m1_data_quartile_calculation,"정렬한 자료를 네 부분으로 나누는 제1사분위수, 제2사분위수, 제3사분위수의 묶음.",사분위수의 뜻을 교과서 설명에서 자주 쓰이는 '세 값' 구조로 분해했다. 세부 표현은 교과서 본문 확인 전까지 medium으로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot_axes_variables,산점도의 두 축과 변량,sub_concept,medium,official_dual_source,yes,2,m1_data_scatter_plot,m1_data_variable; m1_coord_x_axis; m1_coord_y_axis,m1_mis_scatter_axis_swap,산점도에서 두 변량을 각각 가로축과 세로축에 대응시켜 나타내는 구성.,산점도의 축 배정은 교과서 그림 설명 근거가 필요한 미시 구성 요소다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot_trend,산점도의 경향,sub_concept,medium,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_scatter_plot; m1_graph_increase_decrease,m1_data_positive_correlation; m1_data_negative_correlation; m1_data_no_correlation,"산점도의 점들이 전체적으로 증가, 감소, 또는 뚜렷한 방향 없음 중 어떤 모양을 보이는지에 관한 특징.",
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_bivariate_data_table,두 변량의 대응표,representation,medium,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_bivariate_pair,m1_data_scatter_plot_drawing,두 변량의 대응값을 같은 행이나 열에 짝지어 정리한 표.,산점도로 나타내기 전에 두 변량의 대응값을 표로 정리하는 교과서형 표현이다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot,상자그림,representation,high,official_dual_source,yes,4,m1_data_box_scatter_unit,m1_data_quartile; m1_data_box_plot_five_value_summary,m1_data_box_plot_compare,사분위수를 이용하여 자료의 분포를 상자와 선으로 나타낸 그림.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot,산점도,representation,high,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_variable; m1_data_bivariate_pair; m1_coord_coordinate_plane,m1_data_correlation; m1_data_scatter_plot_interpretation,두 변량의 대응값을 좌표평면 위의 점들로 나타낸 그래프.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot_point,산점도의 점,representation,medium,official_dual_source,yes,2,m1_data_scatter_plot,m1_data_bivariate_pair; m1_coord_ordered_pair,m1_data_scatter_plot_trend,두 변량의 대응값 한 쌍을 좌표평면 위에 찍어 나타낸 점.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot_center_spread_reading,상자그림에서 중심과 퍼짐 읽기,procedure,medium,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_box_plot; m1_data_second_quartile; m1_data_box_plot_median_line; m1_data_interquartile_range,m1_data_box_plot_compare; m1_mis_box_plot_length_frequency,"상자그림의 중앙값, 사분위수, 상자와 수염의 길이를 보고 중심과 퍼짐을 해석하는 절차.",
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot_compare,상자그림으로 두 집단의 분포 비교,procedure,high,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_box_plot; m1_data_box_plot_center_spread_reading; m1_data_box_plot_compare_medians; m1_data_box_plot_compare_iqr; m1_data_box_plot_compare_whiskers; m1_data_box_plot_same_scale_comparison; m1_data_distribution_interpretation,m1_data_compare_distributions_variability; m1_data_interquartile_range,"상자그림을 보고 두 집단의 중심, 퍼짐, 분포 특징을 비교하여 해석하는 절차.",
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot_compare_medians,상자그림에서 중앙값 비교하기,procedure,medium,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_box_plot; m1_data_second_quartile; m1_data_box_plot_median_line,m1_data_box_plot_compare,두 집단의 상자그림에서 중앙값 선의 위치를 비교해 중심의 차이를 해석하는 절차.,상자그림의 두 집단 분포 비교를 중심 비교 절차로 분해했다. 공식 성취기준의 비교 요구에 근거해 medium으로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_box_plot_construction_tool,공학 도구로 상자그림 나타내기,procedure,high,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_quartile_calculation; m1_data_box_plot_five_value_summary; m1_data_technology_tool_stats,m1_data_box_plot; m1_data_box_plot_compare,공학 도구를 이용해 사분위수와 상자그림을 구하고 나타내는 절차.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_ordered_data_for_quartiles,사분위수를 구하기 위한 자료 정렬,procedure,medium,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_dataset; m1_num_order_relation,m1_data_quartile; m1_mis_quartile_without_ordering,사분위수를 찾기 위해 자료값을 크기순으로 정리하는 절차.,사분위수 계산에 필요한 절차로 추론했다. 교과서 본문 근거 확인 전까지 중간 신뢰도로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_quartile_calculation,사분위수 구하기,procedure,medium,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_ordered_data_for_quartiles; m1_data_quartile; m1_data_quartile_three_cut_points; m1_data_lower_half_for_quartiles; m1_data_upper_half_for_quartiles; m1_data_median,m1_data_box_plot_five_value_summary,정렬한 자료에서 중앙값과 위아래 절반의 중앙값을 찾아 사분위수를 구하는 절차.,사분위수와 상자그림을 구하는 성취수준 표현에 근거한 절차 노드다. 세부 계산 방식은 교과서 본문으로 보강한다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot_drawing,산점도로 나타내기,procedure,high,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_bivariate_pair; m1_data_bivariate_data_table; m1_data_scatter_plot_axes_variables; m1_data_scatter_plot_axis_label_reading; m1_coord_coordinate_plane,m1_data_scatter_plot,두 변량의 대응값을 좌표평면 위의 점들로 나타내어 산점도를 만드는 절차.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot_interpretation,산점도로 상관관계 말하기,procedure,high,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_scatter_plot; m1_data_scatter_plot_trend; m1_data_scatter_plot_point_meaning; m1_data_correlation,m1_mis_scatter_single_point_correlation; m1_mis_correlation_causation,"산점도의 점들이 나타내는 경향을 보고 양의 상관관계, 음의 상관관계, 상관관계가 없는 경우를 판단하는 절차.",
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_scatter_plot_point_meaning,산점도 한 점의 의미 해석,procedure,medium,official_dual_source,yes,2,m1_data_box_scatter_unit,m1_data_scatter_plot_point; m1_data_scatter_plot_axis_label_reading; m1_data_bivariate_pair,m1_data_scatter_plot_interpretation,산점도의 한 점이 한 대상의 두 변량 대응값을 나타낸다는 의미를 축과 함께 해석하는 절차.,산점도 해석의 가장 작은 읽기 절차로 분리했다. 산점도로 나타내고 상관관계를 말하는 성취기준에 근거해 medium으로 둔다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_first_quartile,제1사분위수,term,medium,official_dual_source,yes,3,m1_data_quartile,m1_data_quartile; m1_data_lower_half_for_quartiles,m1_data_interquartile_range; m1_data_box_plot_five_value_summary,자료를 크기순으로 나누었을 때 아래쪽 절반의 중앙에 해당하는 사분위수.,"공식 문서는 사분위수를 명시하고, 제1사분위수 명칭은 상자그림 구성 요소로 추론했다. 교과서 용어 확인이 필요하다."
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_quartile,사분위수,term,high,official_dual_source,yes,3,m1_data_box_scatter_unit,m1_data_median; m1_num_order_relation; m1_data_ordered_data_for_quartiles,m1_data_box_plot,자료를 크기순으로 배열했을 때 네 부분으로 나누는 위치의 값.,
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_second_quartile,제2사분위수,term,medium,official_dual_source,yes,3,m1_data_quartile,m1_data_quartile; m1_data_median,m1_data_median; m1_data_box_plot_five_value_summary,자료를 네 부분으로 나누는 값 중 가운데 위치의 사분위수로 중앙값과 같은 값.,제2사분위수와 중앙값의 동치 관계는 상자그림 구성 요소로 추론했다. 교과서 용어 확인이 필요하다.
1,중3(교육과정 학년군: 중1-3),자료와 가능성,상자그림과 산점도,m1_data_third_quartile,제3사분위수,term,medium,official_dual_source,yes,3,m1_data_quartile,m1_data_quartile; m1_data_upper_half_for_quartiles,m1_data_interquartile_range; m1_data_box_plot_five_value_summary,자료를 크기순으로 나누었을 때 위쪽 절반의 중앙에 해당하는 사분위수.,"공식 문서는 사분위수를 명시하고, 제3사분위수 명칭은 상자그림 구성 요소로 추론했다. 교과서 용어 확인이 필요하다."
