packet_rank,grade,domain,unit,edge_id,edge_scope,source_id,source_label_ko,source_unit,target_id,target_label_ko,target_unit,relationship_type,confidence,source_ref_count,current_source_refs,notes,required_evidence_fields,evidence_focus,extraction_status,structure_ref,prerequisite_ref,representation_ref,procedure_ref,contrast_ref,misconception_ref,problem_pattern_ref,related_ref,textbook_page_refs,extraction_notes
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_fraction_decimal_denominator_not_reduced__often_confused_with__m1_num_fraction_decimal_classification,intra_unit,m1_mis_fraction_decimal_denominator_not_reduced,기약분수로 고치지 않고 분모 조건을 판단하는 오류,유리수와 순환소수,m1_num_fraction_decimal_classification,분수가 유한소수 또는 순환소수로 나타나는지 구분하기,유리수와 순환소수,often_confused_with,low,1,"achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_fraction_decimal_denominator_not_reduced__often_confused_with__m1_num_reduce_fraction_lowest_terms,intra_unit,m1_mis_fraction_decimal_denominator_not_reduced,기약분수로 고치지 않고 분모 조건을 판단하는 오류,유리수와 순환소수,m1_num_reduce_fraction_lowest_terms,분수를 기약분수로 고치기,유리수와 순환소수,often_confused_with,low,1,"achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_repeating_decimal_shift_digits__often_confused_with__m1_num_repeating_decimal_equation_conversion,intra_unit,m1_mis_repeating_decimal_shift_digits,순환마디 자리수를 맞추지 않고 식을 빼는 오류,유리수와 순환소수,m1_num_repeating_decimal_equation_conversion,식을 세워 순환소수를 분수로 나타내기,유리수와 순환소수,often_confused_with,low,2,"curriculum_math_2022: printed p. 33; [9수01-06] explanation; teaching_note; 순환소수를 분수로 고치는 것은 순환소수가 유리수임을 이해할 수 있는 정도로 다루며 유한소수를 순환소수로 나타내는 것은 다루지 않음 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_repeating_decimal_shift_digits__often_confused_with__m1_num_repetend_identification,intra_unit,m1_mis_repeating_decimal_shift_digits,순환마디 자리수를 맞추지 않고 식을 빼는 오류,유리수와 순환소수,m1_num_repetend_identification,순환마디 찾기,유리수와 순환소수,often_confused_with,low,2,"curriculum_math_2022: printed p. 33; [9수01-06] explanation; teaching_note; 순환소수를 분수로 고치는 것은 순환소수가 유리수임을 이해할 수 있는 정도로 다루며 유한소수를 순환소수로 나타내는 것은 다루지 않음 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_repetend_dot_notation_scope__often_confused_with__m1_num_repeating_decimal_dot_notation,intra_unit,m1_mis_repetend_dot_notation_scope,순환마디 점 표시 범위를 잘못 잡는 오류,유리수와 순환소수,m1_num_repeating_decimal_dot_notation,순환마디 위 점 표기,유리수와 순환소수,often_confused_with,low,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_repetend_dot_notation_scope__often_confused_with__m1_num_repetend_identification,intra_unit,m1_mis_repetend_dot_notation_scope,순환마디 점 표시 범위를 잘못 잡는 오류,유리수와 순환소수,m1_num_repetend_identification,순환마디 찾기,유리수와 순환소수,often_confused_with,low,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_irrational_decimal__often_confused_with__m1_num_infinite_decimal,cross_unit,m1_mis_irrational_decimal,무한소수와 무리수를 같은 말로 보는 오류,제곱근과 실수,m1_num_infinite_decimal,무한소수,유리수와 순환소수,often_confused_with,low,4,"curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | curriculum_math_2022: printed p. 33; [9수01-08]; achievement_standard; 무리수의 개념을 이해하고 무리수의 유용성을 인식하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분 | achievement_math_2022: 제곱근과 실수 section; [9수01-08] achievement levels; achievement_level; 무리수의 개념, 유리수가 아닌 예, 실수 수 체계, 무리수의 필요성과 유용성 인식 수준을 구분",,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_mis_irrational_decimal__often_confused_with__m1_num_repeating_decimal,cross_unit,m1_mis_irrational_decimal,무한소수와 무리수를 같은 말로 보는 오류,제곱근과 실수,m1_num_repeating_decimal,순환소수,유리수와 순환소수,often_confused_with,low,4,"curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | curriculum_math_2022: printed p. 33; [9수01-08]; achievement_standard; 무리수의 개념을 이해하고 무리수의 유용성을 인식하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분 | achievement_math_2022: 제곱근과 실수 section; [9수01-08] achievement levels; achievement_level; 무리수의 개념, 유리수가 아닌 예, 실수 수 체계, 무리수의 필요성과 유용성 인식 수준을 구분",related_ids에서 확인된 오개념 위험 연결을 낮은 신뢰도 edge로 보강. 교과서 근거 확인 후 유지 또는 조정.,misconception_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,"Find misconception, caution, example, or problem-pattern evidence for the confusion risk.",pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_infinite_decimal__contains__m1_num_repeating_decimal,intra_unit,m1_num_infinite_decimal,무한소수,유리수와 순환소수,m1_num_repeating_decimal,순환소수,유리수와 순환소수,contains,high,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal__contains__m1_num_repetend,intra_unit,m1_num_repeating_decimal,순환소수,유리수와 순환소수,m1_num_repetend,순환마디,유리수와 순환소수,contains,high,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_notation__contains__m1_num_repeating_decimal_dot_notation,intra_unit,m1_num_repeating_decimal_notation,순환소수 표현,유리수와 순환소수,m1_num_repeating_decimal_dot_notation,순환마디 위 점 표기,유리수와 순환소수,contains,medium,3,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_to_fraction__contains__m1_num_repeating_decimal_equation_conversion,intra_unit,m1_num_repeating_decimal_to_fraction,순환소수를 분수로 나타내기,유리수와 순환소수,m1_num_repeating_decimal_equation_conversion,식을 세워 순환소수를 분수로 나타내기,유리수와 순환소수,contains,medium,2,"curriculum_math_2022: printed p. 33; [9수01-06] explanation; teaching_note; 순환소수를 분수로 고치는 것은 순환소수가 유리수임을 이해할 수 있는 정도로 다루며 유한소수를 순환소수로 나타내는 것은 다루지 않음 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_unit__contains__m1_num_decimal_remainder_repetition,intra_unit,m1_num_repeating_decimal_unit,유리수와 순환소수,유리수와 순환소수,m1_num_decimal_remainder_repetition,분수 나눗셈에서 나머지 반복,유리수와 순환소수,contains,medium,2,"curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_unit__contains__m1_num_denominator_power_of_ten_conversion,intra_unit,m1_num_repeating_decimal_unit,유리수와 순환소수,유리수와 순환소수,m1_num_denominator_power_of_ten_conversion,분모를 10의 거듭제곱으로 만들기,유리수와 순환소수,contains,medium,4,"curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분 | curriculum_math_2022: printed p. 33; [9수01-01]; achievement_standard; 소인수분해의 뜻을 알고 자연수를 소인수분해 하는 성취기준 | achievement_math_2022: 소인수분해 section; [9수01-01] achievement levels; achievement_level; 소인수분해의 뜻 설명, 자연수를 소인수의 곱으로 표현, 안내된 절차에 따른 소인수분해 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_unit__contains__m1_num_finite_decimal,intra_unit,m1_num_repeating_decimal_unit,유리수와 순환소수,유리수와 순환소수,m1_num_finite_decimal,유한소수,유리수와 순환소수,contains,high,3,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_unit__contains__m1_num_finite_decimal_to_fraction,intra_unit,m1_num_repeating_decimal_unit,유리수와 순환소수,유리수와 순환소수,m1_num_finite_decimal_to_fraction,유한소수를 분수로 나타내기,유리수와 순환소수,contains,medium,3,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | curriculum_math_2022: printed p. 33; [9수01-06]; achievement_standard; 순환소수의 뜻을 알고 유리수와 순환소수의 관계를 설명하는 성취기준 | achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
17,중2(교육과정 학년군: 중1-3),수와 연산,유리수와 순환소수,m1_num_repeating_decimal_unit__contains__m1_num_fraction_decimal_classification,intra_unit,m1_num_repeating_decimal_unit,유리수와 순환소수,유리수와 순환소수,m1_num_fraction_decimal_classification,분수가 유한소수 또는 순환소수로 나타나는지 구분하기,유리수와 순환소수,contains,medium,1,"achievement_math_2022: 유리수와 순환소수 section; [9수01-06] achievement levels; achievement_level; 유한소수 또는 순환소수로 나타낼 수 있는 분수의 특징, 순환소수를 분수로 나타내기, 유리수와 순환소수 관계 설명 수준을 구분",,structure_ref;textbook_page_refs,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
